,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
21731,Theft,-Ju,N,D,3098667.0,10059429.0,2016.0
21732,Theft,-Ju,N,C,3146415.0,10084893.0,2016.0
21735,Theft,-Ju,N,E,3124501.0,10107869.0,2016.0
21736,Theft,-Ju,N,B,3105548.0,10093619.0,2016.0
21737,Theft,-Ju,N,A,3095631.0,10145975.0,2016.0
21738,Theft,-Ju,N,H,3116318.0,10058015.0,2016.0
21739,Theft,-Ju,N,I,3123689.0,10086401.0,2016.0
21740,Theft,-Ju,N,E,3130426.0,10110799.0,2016.0
21741,Theft,-Ju,N,H,3123895.0,10059508.0,2016.0
21743,Theft,-Ju,N,A,3097733.0,10146399.0,2016.0
21744,Theft,-Ju,N,H,3119598.0,10060417.0,2016.0
21745,Theft,-Ju,N,E,3125556.0,10108660.0,2016.0
21746,Theft,-Ju,N,I,3118587.0,10108177.0,2016.0
21747,Theft,-Ju,N,G,3115468.0,10070315.0,2016.0
21749,Theft,-Ju,N,D,3108099.0,10064937.0,2016.0
21750,Theft,-Ju,N,B,3112500.0,10078233.0,2016.0
21751,Theft,-Ju,N,F,3093518.0,10041682.0,2016.0
21752,Theft,-Ju,N,A,3099062.0,10134621.0,2016.0
21754,Theft,-Ju,N,D,3085395.0,10052737.0,2016.0
21755,Theft,-Ju,N,A,3099062.0,10134621.0,2016.0
21756,Theft,-Ju,N,H,3114033.0,10054853.0,2016.0
21757,Theft,-Ju,N,I,3126772.0,10095852.0,2016.0
21758,Theft,-Ju,N,I,3122000.0,10100732.0,2016.0
21759,Theft,-Ju,N,G,3117889.0,10069760.0,2016.0
21760,Theft,-Ju,N,A,3087251.0,10130396.0,2016.0
21762,Theft,-Ju,N,F,3115338.0,10051669.0,2016.0
21763,Theft,-Ju,N,F,3114755.0,10051812.0,2016.0
21764,Theft,-Ju,N,I,3121068.0,10097264.0,2016.0
21765,Theft,-Ju,N,G,3117297.0,10070253.0,2016.0
21766,Theft,-Ju,N,F,3092967.0,10038891.0,2016.0
21767,Theft,-Ju,N,H,3123815.0,10058962.0,2016.0
21768,Theft,-Ju,N,G,3113103.0,10070735.0,2016.0
21769,Theft,-Ju,N,B,3113940.0,10074532.0,2016.0
21770,Theft,-Ju,N,H,3133446.0,10058861.0,2016.0
21771,Burglary,-Ju,N,B,3109529.0,10100789.0,2016.0
21772,Burglary,-Ju,C,H,3119262.0,10059823.0,2016.0
21773,Agg Assault,-Ju,N,G,3115692.0,10070465.0,2016.0
21774,Theft,-Ju,N,A,3113440.0,10119627.0,2016.0
21775,Burglary,-Ju,N,I,3116150.0,10096040.0,2016.0
21776,Agg Assault,-Ju,C,I,3124866.0,10089833.0,2016.0
21777,Theft,-Ju,N,G,3116407.0,10066842.0,2016.0
21778,Theft,-Ju,N,G,3116884.0,10070627.0,2016.0
21780,Auto Theft,-Ju,C,D,3100653.0,10059490.0,2016.0
21781,Theft,-Ju,N,F,3087643.0,10026489.0,2016.0
21782,Burglary,-Ju,N,A,3119517.0,10119535.0,2016.0
21783,Burglary,-Ju,N,H,3128483.0,10056347.0,2016.0
21784,Agg Assault,-Ju,N,I,3126309.0,10089393.0,2016.0
21785,Theft,-Ju,N,G,3114657.0,10070787.0,2016.0
21786,Theft,-Ju,C,B,3127952.0,10083340.0,2016.0
21787,Theft,-Ju,C,A,3092523.0,10143915.0,2016.0
21788,Agg Assault,-Ju,C,G,3115951.0,10070759.0,2016.0
21790,Theft,-Ju,C,C,3139035.0,10088006.0,2016.0
21791,Theft,-Ju,C,I,3124792.0,10087258.0,2016.0
21792,Theft,-Ju,N,D,3110517.0,10052730.0,2016.0
21794,Theft,-Ju,N,A,3125763.0,10127827.0,2016.0
21795,Burglary,-Ju,N,F,3101990.0,10027621.0,2016.0
21796,Theft,-Ju,C,D,3108441.0,10055508.0,2016.0
21797,Theft,-Ju,N,D,3094135.0,10066586.0,2016.0
21798,Theft,-Ju,C,H,3120958.0,10059176.0,2016.0
21799,Auto Theft,-Ju,N,I,3130684.0,10093333.0,2016.0
21800,Theft,-Ju,N,B,3124601.0,10084923.0,2016.0
21802,Theft,-Ju,C,H,3120958.0,10059176.0,2016.0
21803,Theft,-Ju,C,H,3119173.0,10061567.0,2016.0
21804,Theft,-Ju,N,F,3089847.0,10036827.0,2016.0
21805,Burglary,-Ju,N,A,3129035.0,10126372.0,2016.0
21806,Agg Assault,-Ju,C,I,3123281.0,10087073.0,2016.0
21807,Theft,-Ju,N,H,3114654.0,10056839.0,2016.0
21808,Theft,-Ju,N,G,3120608.0,10068345.0,2016.0
21809,Theft,-Ju,N,G,3119607.0,10069381.0,2016.0
21810,Theft,-Ju,N,B,3114433.0,10079001.0,2016.0
21811,Theft,-Ju,N,I,3126792.0,10089198.0,2016.0
21812,Theft,-Ju,N,E,3124278.0,10113382.0,2016.0
21813,Theft,-Ju,N,D,3102115.0,10049743.0,2016.0
21814,Theft,-Ju,N,D,3112412.0,10067818.0,2016.0
21815,Theft,-Ju,N,G,3118138.0,10069459.0,2016.0
21816,Theft,-Ju,N,F,3099928.0,10048532.0,2016.0
21817,Theft,-Ju,N,B,3122253.0,10083725.0,2016.0
21818,Theft,-Ju,N,E,3132071.0,10123586.0,2016.0
21819,Theft,-Ju,N,D,3111491.0,10067285.0,2016.0
21820,Theft,-Ju,N,F,3101360.0,10048230.0,2016.0
21821,Theft,-Ju,N,D,3095314.0,10053781.0,2016.0
21822,Theft,-Ju,N,I,3128790.0,10092240.0,2016.0
21823,Theft,-Ju,N,C,3122791.0,10067721.0,2016.0
21824,Theft,-Ju,N,B,3127952.0,10083340.0,2016.0
21825,Theft,-Ju,N,A,3086560.0,10137995.0,2016.0
21826,Theft,-Ju,N,H,3121662.0,10058613.0,2016.0
21827,Theft,-Ju,N,H,3118325.0,10056320.0,2016.0
21828,Theft,-Ju,N,C,3135551.0,10078277.0,2016.0
21829,Theft,-Ju,N,D,3094135.0,10066586.0,2016.0
21830,Theft,-Ju,N,F,3106653.0,10045949.0,2016.0
21831,Theft,-Ju,N,F,3100423.0,10033116.0,2016.0
21832,Theft,-Ju,N,B,3111503.0,10078020.0,2016.0
21833,Theft,-Ju,N,B,3095487.0,10099093.0,2016.0
21834,Theft,-Ju,N,F,3106502.0,10046087.0,2016.0
21835,Theft,-Ju,N,A,3118107.0,10117677.0,2016.0
21836,Theft,-Ju,N,D,3101282.0,10051654.0,2016.0
21837,Theft,-Ju,N,B,3110571.0,10099578.0,2016.0
21838,Theft,-Ju,N,B,3112679.0,10079116.0,2016.0
21839,Theft,-Ju,N,G,3115730.0,10070453.0,2016.0
21840,Theft,-Ju,N,B,3114264.0,10091901.0,2016.0
21841,Theft,-Ju,N,A,3098733.0,10142841.0,2016.0
21842,Theft,-Ju,N,D,3094135.0,10066586.0,2016.0
21843,Theft,-Ju,N,C,3120784.0,10073545.0,2016.0
21844,Theft,-Ju,N,H,3123227.0,10058967.0,2016.0
21845,Theft,-Ju,N,F,3092088.0,10032339.0,2016.0
21846,Theft,-Ju,C,A,3092523.0,10143915.0,2016.0
21847,Auto Theft,-Ju,N,B,3103989.0,10088743.0,2016.0
21848,Agg Assault,-Ju,O,B,3122860.0,10084358.0,2016.0
