,primary_type,timestamp,clearance_status,district,x_coordinate,y_coordinate,year
21071,Theft,-Ju,N,A,3094987.0,10136564.0,2015.0
21072,Theft,-Ju,N,A,3107146.0,10124554.0,2015.0
21073,Theft,-Ju,N,D,3084972.0,10057406.0,2015.0
21074,Theft,-Ju,N,A,3124087.0,10119739.0,2015.0
21075,Theft,-Ju,N,I,3130154.0,10092766.0,2015.0
21076,Theft,-Ju,N,A,3124087.0,10119739.0,2015.0
21077,Theft,-Ju,N,D,3096409.0,10061250.0,2015.0
21078,Theft,-Ju,N,A,3112647.0,10120689.0,2015.0
21079,Theft,-Ju,N,I,3129252.0,10090848.0,2015.0
21081,Theft,-Ju,N,F,3119350.0,10045926.0,2015.0
21082,Theft,-Ju,N,C,3121769.0,10079625.0,2015.0
21083,Theft,-Ju,N,D,3108639.0,10055023.0,2015.0
21084,Theft,-Ju,N,G,3116208.0,10070556.0,2015.0
21085,Theft,-Ju,N,B,3124602.0,10084923.0,2015.0
21086,Theft,-Ju,N,G,3116563.0,10070427.0,2015.0
21087,Theft,-Ju,N,D,3103815.0,10057185.0,2015.0
21088,Theft,-Ju,N,G,3113421.0,10070348.0,2015.0
21090,Theft,-Ju,N,G,3115019.0,10070660.0,2015.0
21091,Theft,-Ju,N,E,3133370.0,10124409.0,2015.0
21092,Theft,-Ju,N,D,3104306.0,10072771.0,2015.0
21094,Theft,-Ju,N,B,3114585.0,10080210.0,2015.0
21095,Theft,-Ju,N,D,3084129.0,10053081.0,2015.0
21096,Theft,-Ju,N,C,3130797.0,10074308.0,2015.0
21097,Theft,-Ju,N,H,3129905.0,10058537.0,2015.0
21098,Theft,-Ju,N,B,3113466.0,10082293.0,2015.0
21099,Theft,-Ju,N,B,3113994.0,10080551.0,2015.0
21100,Theft,-Ju,N,D,3103859.0,10057591.0,2015.0
21101,Theft,-Ju,N,H,3119889.0,10055969.0,2015.0
21102,Theft,-Ju,N,G,3112526.0,10071280.0,2015.0
21103,Theft,-Ju,N,I,3125095.0,10087249.0,2015.0
21104,Theft,-Ju,N,G,3117805.0,10071474.0,2015.0
21105,Theft,-Ju,N,F,3097160.0,10044248.0,2015.0
21106,Theft,-Ju,N,A,3127904.0,10131452.0,2015.0
21107,Theft,-Ju,N,I,3121229.0,10096964.0,2015.0
21110,Theft,-Ju,N,C,3139633.0,10084978.0,2015.0
21111,Theft,-Ju,N,B,3114434.0,10077596.0,2015.0
21112,Theft,-Ju,N,G,3115466.0,10066891.0,2015.0
21113,Theft,-Ju,N,D,3106643.0,10054305.0,2015.0
21114,Theft,-Ju,N,F,3099454.0,10036351.0,2015.0
21115,Theft,-Ju,N,B,3124602.0,10084923.0,2015.0
21116,Theft,-Ju,N,G,3116497.0,10070876.0,2015.0
21117,Theft,-Ju,C,F,3100423.0,10033116.0,2015.0
21118,Theft,-Ju,N,B,3121532.0,10084976.0,2015.0
21119,Theft,-Ju,N,I,3121496.0,10105110.0,2015.0
21120,Theft,-Ju,N,G,3114871.0,10070809.0,2015.0
21121,Theft,-Ju,N,G,3115255.0,10067845.0,2015.0
21122,Theft,-Ju,N,C,3133748.0,10077675.0,2015.0
21124,Robbery,-Ju,N,I,3126536.0,10092974.0,2015.0
21125,Robbery,-Ju,N,D,3101690.0,10058911.0,2015.0
21127,Burglary,-Ju,O,G,3114200.0,10070299.0,2015.0
21128,Burglary,-Ju,N,A,3094443.0,10138330.0,2015.0
21129,Burglary,-Ju,N,B,3113564.0,10076611.0,2015.0
21130,Burglary,-Ju,N,I,3117882.0,10103584.0,2015.0
21131,Burglary,-Ju,N,A,3101040.0,10132849.0,2015.0
21132,Burglary,-Ju,C,C,3121305.0,10073542.0,2015.0
21133,Burglary,-Ju,N,A,3102646.0,10127959.0,2015.0
21134,Burglary,-Ju,N,I,3127800.0,10085081.0,2015.0
21135,Burglary,-Ju,N,E,3125710.0,10102520.0,2015.0
21136,Burglary,-Ju,N,C,3126715.0,10077762.0,2015.0
21137,Burglary,-Ju,N,F,3102872.0,10043682.0,2015.0
21138,Burglary,-Ju,C,D,3070374.0,10060846.0,2015.0
21139,Burglary,-Ju,N,C,3121966.0,10069891.0,2015.0
21140,Burglary,-Ju,N,I,3129229.0,10093698.0,2015.0
21141,Burglary,-Ju,N,D,3089958.0,10049329.0,2015.0
21142,Burglary,-Ju,N,H,3113816.0,10063662.0,2015.0
21143,Burglary,-Ju,N,E,3135313.0,10124219.0,2015.0
21144,Burglary,-Ju,N,I,3127527.0,10091459.0,2015.0
21145,Burglary,-Ju,N,B,3113111.0,10073779.0,2015.0
21146,Burglary,-Ju,N,I,3119287.0,10096112.0,2015.0
21147,Burglary,-Ju,C,F,3118609.0,10046268.0,2015.0
21148,Burglary,-Ju,N,I,3125788.0,10092237.0,2015.0
21149,Burglary,-Ju,C,H,3120814.0,10056202.0,2015.0
21150,Burglary,-Ju,N,I,3126582.0,10096813.0,2015.0
21151,Burglary,-Ju,N,F,3119200.0,10046065.0,2015.0
21152,Burglary,-Ju,N,H,3118852.0,10056475.0,2015.0
21153,Auto Theft,-Ju,N,C,3122841.0,10076741.0,2015.0
21154,Auto Theft,-Ju,N,B,3112557.0,10078930.0,2015.0
21155,Auto Theft,-Ju,N,F,3107922.0,10043296.0,2015.0
21156,Auto Theft,-Ju,N,F,3105694.0,10046464.0,2015.0
21157,Auto Theft,-Ju,N,A,3095521.0,10147121.0,2015.0
21158,Auto Theft,-Ju,N,F,3102586.0,10034201.0,2015.0
21159,Auto Theft,-Ju,N,F,3097404.0,10031430.0,2015.0
21160,Auto Theft,-Ju,N,E,3125452.0,10111993.0,2015.0
21161,Auto Theft,-Ju,N,I,3119198.0,10093141.0,2015.0
21162,Auto Theft,-Ju,O,B,3117679.0,10085613.0,2015.0
21163,Auto Theft,-Ju,N,I,3116997.0,10091934.0,2015.0
21164,Auto Theft,-Ju,N,E,3122123.0,10106940.0,2015.0
21165,Auto Theft,-Ju,N,C,3132823.0,10074994.0,2015.0
21166,Auto Theft,-Ju,N,E,3138830.0,10118548.0,2015.0
21169,Agg Assault,-Ju,C,D,3111208.0,10051200.0,2015.0
21170,Agg Assault,-Ju,C,C,3121966.0,10069891.0,2015.0
21171,Agg Assault,-Ju,O,E,3136978.0,10134800.0,2015.0
21172,Agg Assault,-Ju,C,H,3119729.0,10053927.0,2015.0
21173,Theft,-Ju,N,C,3136562.0,10077162.0,2015.0
21174,Theft,-Ju,N,F,3106560.0,10042356.0,2015.0
21175,Theft,-Ju,N,E,3131035.0,10112844.0,2015.0
21176,Theft,-Ju,C,F,3100423.0,10033116.0,2015.0
21177,Theft,-Ju,C,I,3125468.0,10088596.0,2015.0
21178,Theft,-Ju,N,C,3125317.0,10078562.0,2015.0
21179,Theft,-Ju,N,D,3094135.0,10066586.0,2015.0
21180,Theft,-Ju,N,E,3134136.0,10111095.0,2015.0
21183,Theft,-Ju,N,D,3093639.0,10064990.0,2015.0
21184,Theft,-Ju,N,D,3109318.0,10069148.0,2015.0
21185,Theft,-Ju,N,E,3133493.0,10107614.0,2015.0
21186,Theft,-Ju,N,A,3127006.0,10122447.0,2015.0
21187,Theft,-Ju,N,G,3115780.0,10071325.0,2015.0
21188,Theft,-Ju,N,F,3096821.0,10031724.0,2015.0
21189,Theft,-Ju,N,G,3117902.0,10071207.0,2015.0
21190,Theft,-Ju,N,D,3082868.0,10053773.0,2015.0
21191,Theft,-Ju,N,B,3118923.0,10078756.0,2015.0
21192,Theft,-Ju,N,D,3100203.0,10056447.0,2015.0
21193,Theft,-Ju,N,A,3123090.0,10115364.0,2015.0
21194,Theft,-Ju,N,F,3096688.0,10030330.0,2015.0
21195,Theft,-Ju,N,B,3116129.0,10103898.0,2015.0
21196,Theft,-Ju,N,F,3096471.0,10039295.0,2015.0
21197,Theft,-Ju,N,D,3106599.0,10058825.0,2015.0
21198,Theft,-Ju,N,E,3134259.0,10106144.0,2015.0
21199,Theft,-Ju,N,C,3126740.0,10077208.0,2015.0
21200,Theft,-Ju,N,F,3086432.0,10036381.0,2015.0
21201,Theft,-Ju,N,A,3092956.0,10138175.0,2015.0
21202,Theft,-Ju,N,F,3097516.0,10032236.0,2015.0
21203,Theft,-Ju,N,D,3081364.0,10048206.0,2015.0
21204,Theft,-Ju,N,B,3100123.0,10078696.0,2015.0
21205,Theft,-Ju,N,F,3116906.0,10048110.0,2015.0
21206,Theft,-Ju,N,E,3134897.0,10108726.0,2015.0
21207,Theft,-Ju,N,E,3121104.0,10110443.0,2015.0
21208,Theft,-Ju,N,I,3127150.0,10091066.0,2015.0
21209,Theft,-Ju,N,E,3131125.0,10103885.0,2015.0
21210,Theft,-Ju,N,I,3125399.0,10091791.0,2015.0
21211,Theft,-Ju,N,E,3135019.0,10107527.0,2015.0
21212,Theft,-Ju,N,E,3134509.0,10107289.0,2015.0
21213,Theft,-Ju,N,F,3117056.0,10047948.0,2015.0
21214,Theft,-Ju,N,E,3127650.0,10106327.0,2015.0
21215,Theft,-Ju,N,D,3068105.0,10054937.0,2015.0
21216,Theft,-Ju,N,F,3111648.0,10038451.0,2015.0
21217,Theft,-Ju,N,F,3084367.0,10026774.0,2015.0
21218,Theft,-Ju,N,B,3114525.0,10079071.0,2015.0
21219,Theft,-Ju,N,A,3102437.0,10133028.0,2015.0
21220,Theft,-Ju,N,A,3101425.0,10131635.0,2015.0
21221,Theft,-Ju,N,H,3112453.0,10064219.0,2015.0
21222,Theft,-Ju,N,H,3119388.0,10062086.0,2015.0
21223,Theft,-Ju,N,A,3112267.0,10117996.0,2015.0
21225,Theft,-Ju,N,I,3117553.0,10096741.0,2015.0
21226,Theft,-Ju,N,H,3122306.0,10058898.0,2015.0
21227,Theft,-Ju,N,B,3113586.0,10077425.0,2015.0
21228,Theft,-Ju,N,H,3117278.0,10063705.0,2015.0
21229,Theft,-Ju,N,B,3120050.0,10085805.0,2015.0
21230,Theft,-Ju,N,D,3094135.0,10066586.0,2015.0
21232,Theft,-Ju,O,G,3115894.0,10069580.0,2015.0
21233,Theft,-Ju,N,B,3111758.0,10082039.0,2015.0
21234,Theft,-Ju,N,B,3124602.0,10084923.0,2015.0
21235,Theft,-Ju,N,E,3130070.0,10123786.0,2015.0
21236,Theft,-Ju,N,A,3127319.0,10124746.0,2015.0
21237,Theft,-Ju,N,I,3126122.0,10094299.0,2015.0
21239,Theft,-Ju,N,G,3112743.0,10069674.0,2015.0
21240,Theft,-Ju,C,A,3111520.0,10116674.0,2015.0
21241,Theft,-Ju,O,F,3090891.0,10037675.0,2015.0
21242,Theft,-Ju,N,F,3096869.0,10029990.0,2015.0
21243,Theft,-Ju,N,F,3099434.0,10040254.0,2015.0
21244,Theft,-Ju,N,F,3111666.0,10050395.0,2015.0
21246,Theft,-Ju,N,C,3124405.0,10077491.0,2015.0
21247,Theft,-Ju,N,A,3115093.0,10130585.0,2015.0
21248,Theft,-Ju,N,C,3127379.0,10066804.0,2015.0
21249,Theft,-Ju,N,G,3115259.0,10070590.0,2015.0
21250,Theft,-Ju,N,I,3121146.0,10096118.0,2015.0
21251,Theft,-Ju,N,G,3117175.0,10070192.0,2015.0
21252,Theft,-Ju,N,A,3111520.0,10116674.0,2015.0
21253,Theft,-Ju,N,AP,3138768.0,10047351.0,2015.0
21254,Theft,-Ju,C,I,3124332.0,10093155.0,2015.0
21255,Theft,-Ju,N,AP,3138874.0,10047360.0,2015.0
21256,Theft,-Ju,N,D,3105989.0,10069770.0,2015.0
21257,Theft,-Ju,N,C,3124951.0,10069734.0,2015.0
21258,Theft,-Ju,N,B,3120571.0,10082238.0,2015.0
21259,Theft,-Ju,O,D,3104050.0,10060881.0,2015.0
